filename,doi,status,notes
Kaushik_2022,10.1002/jcp.30683,closed_access,closed
Shahbandeh_2022,10.1016/j.cimid.2022.101747,closed_access,closed
Jothipandiyan_2021,10.1080/08927014.2021.2015336,closed_access,closed
Pourhajibagher_2022,10.2174/1871526522666211220121725,closed_access,closed
Li_2021,10.1016/j.micres.2021.126911,closed_access,closed
Seleem_2021,10.1016/j.micpath.2021.105097,closed_access,closed
Usmani_2021,10.1016/j.micpath.2021.104997,closed_access,closed
Pourhajibagher_2021,10.1016/j.pdpdt.2021.102288,closed_access,closed
Yamabe_2020,10.2220/biomedres.41.259,all_failed,best_oa_pdf->err:IncompleteRead:IncompleteRead(683436 bytes read) | Biomedical Research_pdf->err:IncompleteRead:IncompleteRead(1013732 bytes read) | PubMed_landing->landing_html:0_pdfs
Ujak_2020,10.1002/cbdv.202000786,pdf_ok,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Chemistry & Biodiversity_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Digital Archive of SASA (Serbian Academy of Sciences and Arts)_pdf->not_pdf | IMAGINE - Repository of the Institute of molecular genetics and genetic engineering (University of Belgrade)_landing->landing_html:2_pdfs |   pdf:ream/123456
PaulBhattacharya_2020,10.1080/08927014.2020.1831480,closed_access,closed
Oh_2020,10.1007/s13258-020-01005-8,closed_access,closed
Kaur_2020,10.1080/09593330.2020.1811389,closed_access,closed
Zhang_2020,10.1016/j.micpath.2020.104451,closed_access,closed
Yang_2020,10.1016/j.bmc.2020.115606,closed_access,closed
AlMarjania_2021,10.2174/1871526520666200525170318,closed_access,closed
Khamari_2020,10.1159/000508461,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Medical Principles and Practice_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Europe PMC (PubMed Central)_landing->landing_err:HTTPError | PubMed Central_landing->landing_html:1_pdfs |   pdf:rticles/PMC7768151/pdf/mpp-0029-0580.pdf->too_small:1817
PrezVarela_2020,10.1128/JB.00045-20,all_failed,Journal of Bacteriology_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:1_pdfs |   pdf:/articles/PMC7253615/pdf/JB.00045-20.pdf->too_small:1817
Pourhajibagher_2020,10.1016/j.pdpdt.2020.101717,closed_access,closed
Ahmed_2020,10.1007/s42770-020-00235-y,all_failed,Brazilian Journal of Microbiology_landing->landing_html:1_pdfs |   pdf:ntent/pdf/10.1007/s42770-020-00235-y.pdf->not_pdf | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
AlKadmy_2019,10.1089/mdr.2019.0243,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 404: Not Found | Microbial Drug Resistance_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PEARL (University of Plymouth)_pdf->err:HTTPError:HTTP Error 404: Not Found
Yu_2019,10.1016/j.fitote.2019.104433,closed_access,closed
Zhang_2019,10.1016/j.margen.2019.100719,closed_access,closed
Moran_2019,10.1016/j.plasmid.2019.102432,closed_access,closed
Saipriya_2019,10.1111/jam.14330,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Applied Microbiology_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs
Leshkasheli_2019,10.1016/j.jgar.2019.05.005,all_failed,Journal of Global Antimicrobial Resistance_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs | Bern Open Repository and Information System (University of Bern)_landing->landing_html:0_pdfs | IRIS_landing->landing_html:0_pdfs | SERVAL (Université de Lausanne)_landing->landing_html:0_pdfs | Open Access CRIS of the University of Bern_landing->landing_html:0_pdfs
Bi_2019,10.1128/AAC.02526-18,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:2_pdfs |   pdf:articles/PMC6437538/pdf/AAC.02526-18.pdf->too_small:1817 |   pdf:tance/6437538/bin/AAC.02526-18-s0001.pdf->too_small:1817
Ravi_2019,10.1007/978-1-4939-9118-1_6,closed_access,closed
Costoya_2019,10.1016/j.ijpharm.2018.12.075,closed_access,closed
Shaaban_2018,10.1016/j.micpath.2018.11.043,closed_access,closed
Hamidian_2018,10.1016/j.drup.2018.10.003,closed_access,closed
Oliveira_2019,10.1128/JVI.01163-18,pdf_ok,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Virology_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | ?_landing->landing_html:1_pdfs |   pdf:b52-f14e-4d71-8c36-f07382af8b01/download->ok:2698806
Costa_2018,10.1016/j.carbpol.2018.08.083,closed_access,closed
Tiwari_2018,10.1016/j.meegid.2018.09.010,closed_access,closed
Trastoy_2018,10.1128/CMR.00023-18,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Clinical Microbiology Reviews_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Zenodo (CERN European Organization for Nuclear Research)_pdf->err:HTTPError:HTTP Error 403: Forbidden | Europe PMC (PubMed Central)_landing->landing_html:1_pdfs |   pdf:ov/articles/PMC6148185/pdf/e00023-18.pdf->too_small:1816
Sivaranjani_2018,10.1080/08927014.2018.1473387,closed_access,closed
Erdnmez_2017,10.1007/s00203-017-1408-8,closed_access,closed
Murray_2017,10.1093/infdis/jiw529,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | The Journal of Infectious Diseases_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs
Savari_2017,10.1007/s12223-017-0507-x,closed_access,closed
Yaniv_2016,10.1080/08927014.2016.1253684,closed_access,closed
Choi_2016,10.1016/j.ijantimicag.2016.09.024,closed_access,closed
John_2016,10.1080/08927014.2016.1221946,closed_access,closed
Pourhajibagher_2016,10.1016/j.pdpdt.2016.07.007,closed_access,closed
Tan_2016,10.1128/AAC.02180-15,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Europe PMC (PubMed Central)_landing->landing_html:2_pdfs |   pdf:.gov/articles/PMC4879401/pdf/zac3348.pdf->too_small:1817 |   pdf:401/bin/AAC.02180-15_zac006165196so1.pdf->too_small:1817
Alves_2016,10.1080/08927014.2015.1133810,closed_access,closed
Tay_2016,10.3791/53243,all_failed,best_oa_pdf->too_small:0 | Journal of Visualized Experiments_pdf->too_small:0 | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:1_pdfs |   pdf:ticles/PMC4780937/pdf/jove-107-53243.pdf->too_small:1817
Blackwell_2015,10.1128/AAC.02662-15,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
Bhargava_2015,10.2217/fmb.15.107,closed_access,closed
Kostoulias_2015,10.1128/AAC.01540-15,all_failed,Antimicrobial Agents and Chemotherapy_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
Modarresi_2015,10.1111/apm.12455,closed_access,closed
Kandi_2015,10.7860/JCDR/2015/13069.6084,pdf_ok,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs | DOAJ (DOAJ: Directory of Open Access Journals)_landing->landing_html:1_pdfs |   pdf:Ra1)_F(GH)_PF1(AGAK)_PFA(P)_PF2(PAG).pdf->ok:256981
Kim_2015,10.1128/AAC.01175-15,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | ?_landing->landing_err:HTTPError | PubMed Central_landing->landing_html:1_pdfs |   pdf:.gov/articles/PMC4538507/pdf/zac5824.pdf->too_small:1817
He_2015,10.1128/AAC.00877-15,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Europe PMC (PubMed Central)_landing->landing_html:0_pdfs
Tipton_2015,10.1128/JB.00188-15,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Bacteriology_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Europe PMC (PubMed Central)_landing->landing_html:0_pdfs
Saranathan_2015,10.1111/1348-0421.12252,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Microbiology and Immunology_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs
Jung_2015,10.1007/s00253-015-6439-y,all_failed,best_oa_pdf->not_pdf | Applied Microbiology and Biotechnology_pdf->not_pdf | PubMed_landing->landing_html:0_pdfs
Modarresi_2015_2,10.1080/21505594.2014.1003001,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Virulence_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:1_pdfs |   pdf:es/PMC4601488/pdf/kvir-06-02-1003001.pdf->too_small:1817
Li_2014,10.1128/AAC.04609-14,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
Allen_2014,10.1107/S1399004714008311,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Acta Crystallographica Section D Biological Crystallography_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | International Union of Crystallography_landing->landing_err:HTTPError | PubMed Central_landing->landing_html:0_pdfs
Bhargava_2014,10.1128/IAI.01600-14,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Infection and Immunity_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:1_pdfs |   pdf:.gov/articles/PMC4136213/pdf/zii3417.pdf->too_small:1817
Chow_2013,10.1128/AAC.02410-13,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
Gayoso_2013,10.1021/pr400603f,all_failed,Journal of Proteome Research_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | RUNA. Repositorio Institucional del Sergas (Servicio Gallego de Salud (SERGAS))_landing->landing_html:0_pdfs | Zenodo (CERN European Organization for Nuclear Research)_landing->landing_err:HTTPError
Vilacoba_2013,10.1128/JCM.01388-13,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Clinical Microbiology_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)_pdf->err:HTTPError:HTTP Error 503: Service Unavailable | Americanae (AECID Library)_landing->landing_err:HTTPError | Europe PMC (PubMed C
Kim_2013,10.1128/AAC.00633-13,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | National University of Singapore_landing->landing_html:0_pdfs | Europe PMC (PubMed Central)_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:1_pdfs |   pdf:.gov/articles/PMC3811275/pdf/zac5239.pdf->too_s
Golberg_2013,10.1080/08927014.2013.796939,all_failed,Biofouling_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | Figshare_landing->landing_html:0_pdfs | Figshare_landing->landing_html:0_pdfs
Ramrez_2013,10.1007/s00284-013-0326-5,all_failed,Current Microbiology_landing->landing_html:1_pdfs |   pdf:ontent/pdf/10.1007/s00284-013-0326-5.pdf->not_pdf | PubMed_landing->landing_html:0_pdfs | CONICET Digital (CONICET)_landing->landing_err:HTTPError
Saroj_2013,10.1128/AAC.02161-12,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | Europe PMC (PubMed Central)_landing->landing_html:1_pdfs |   pdf:.gov/articles/PMC3623334/pdf/zac1926.pdf->too_small:1817
Nigro_2012,10.1093/jac/dks459,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Antimicrobial Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Flinders Academic Commons (Flinders University)_landing->landing_html:0_pdfs | HighWire Press Open Archive_landing->landing_html:0_pdfs
Bhargava_2012,10.1080/08927014.2012.714372,closed_access,closed
Bitrian_2012,10.2436/20.1501.01.161,all_failed,best_oa_pdf->not_pdf | PubMed_landing->landing_html:0_pdfs | Conicet_landing->landing_err:HTTPError | Estudis Romànics (Institut d'Estudis Catalans)_pdf->not_pdf
McQueary_2012,10.1007/s12275-012-1555-1,all_failed,best_oa_pdf->not_pdf | The Journal of Microbiology_pdf->not_pdf | PubMed_landing->landing_html:0_pdfs | Zenodo (CERN European Organization for Nuclear Research)_landing->landing_err:HTTPError
Arduino_2012,10.1099/jmm.0.038968-0,closed_access,closed
Kim_2012,10.1128/AAC.00880-12,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | ?_landing->landing_err:HTTPError | Europe PMC (PubMed Central)_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:1_pdfs |   pdf:.gov/articles/PMC3421569/pdf/zac4544.pdf->too_small:1817
Seputiene_2012,10.1128/AAC.05678-11,all_failed,Antimicrobial Agents and Chemotherapy_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:1_pdfs |   pdf:.gov/articles/PMC3318354/pdf/zac1969.pdf->too_small:1817
Bonnin_2011,10.1093/jac/dkr413,closed_access,closed
Hamidian_2011,10.1093/jac/dkr356,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Antimicrobial Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | HighWire Press Open Archive_landing->landing_html:0_pdfs | HighWire Press Open Archive_landing->landing_html:0_pdfs
Zhou_2011,10.1128/AAC.01134-10,all_failed,Antimicrobial Agents and Chemotherapy_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | ?_landing->landing_err:HTTPError | PubMed Central_landing->landing_html:0_pdfs
Clemmer_2011,10.1099/mic.0.049791-0,all_failed,Microbiology_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
Krizova_2011,10.1128/AAC.00221-11,all_failed,Antimicrobial Agents and Chemotherapy_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | Data Archiving and Networked Services (DANS)_landing->landing_html:0_pdfs | Europe PMC (PubMed Central)_landing->landing_html:2_pdfs |   pdf:.gov/articles/PMC3122396/pdf/zac3201.pdf->too_small:1817 |   pdf:stance/3122396/bin/supp_55_7_3201__1.pdf->too_small:1817 | Leiden Repository (Leiden 
Kang_2011,10.1007/s12275-011-0315-y,closed_access,closed
Turton_2011,10.1128/JCM.02335-10,all_failed,Journal of Clinical Microbiology_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
Ramirez_2011,10.1128/AAC.01595-10,pdf_ok,Antimicrobial Agents and Chemotherapy_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | Americanae (AECID Library)_landing->landing_err:HTTPError | PubMed Central_landing->landing_html:2_pdfs |   pdf:.gov/articles/PMC3067174/pdf/1595-10.pdf->too_small:1817 |   pdf:ulty.washington.edu/marilynr/tetweb1.pdf->ok:16639
Bhargava_2010,10.3109/1040841X.2010.512269,closed_access,closed
Post_2010,10.1093/jac/dkq095,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Antimicrobial Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | HighWire Press Open Archive_landing->landing_html:0_pdfs | HighWire Press Open Archive_landing->landing_html:0_pdfs
Peleg_2009,10.1128/AAC.01533-08,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Antimicrobial Agents and Chemotherapy_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | Europe PMC (PubMed Central)_landing->landing_html:1_pdfs |   pdf:.gov/articles/PMC2687231/pdf/1533-08.pdf->too_small:1817
Peleg_2008,10.1073/pnas.0805048105,all_failed,Proceedings of the National Academy of Sciences_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
Niu_2008,10.1128/JB.01929-07,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Bacteriology_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs | PubMed Central_landing->landing_html:0_pdfs
BogelmezTinaz_2005,10.1016/j.micres.2005.03.005,closed_access,closed
