filename,doi,method,status,info
Masoomi_2025,10.1016/j.micpath.2025.108256,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Mathur_2023,10.1016/j.micpath.2023.106307,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Babaeekhou_2023,10.1007/s00284-023-03356-3,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Mukhopadhyay_2023_2,10.1016/j.ijantimicag.2023.106951,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Khoshbakht_2023,10.1016/j.micpath.2023.106264,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Memariani_2023,10.1007/s11274-023-03545-z,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Li_2023,10.1093/jambio/lxac023,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jia_2022,10.1016/j.bmc.2022.117095,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Laliany_2022,10.1007/s00203-022-03308-8,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Siddique_2022,10.1080/03639045.2022.2132260,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jha_2022,10.1007/s11030-022-10533-2,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Wang_2022,10.1016/j.jep.2022.115602,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ghalavand_2022,10.1007/s00284-022-02976-5,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kashyap_2022,10.1093/femspd/ftac029,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Abbaszadeh_2021,10.3897/folmed.63.e56566,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Elshaer_2022,10.1111/jam.15609,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Law_2022,10.1016/j.micres.2022.127032,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jha_2022_2,10.1016/j.jmgm.2022.108168,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Vogel_2022,10.1016/j.micinf.2022.104951,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kaushik_2022,10.1002/jcp.30683,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Shahbandeh_2022,10.1016/j.cimid.2022.101747,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jothipandiyan_2021,10.1080/08927014.2021.2015336,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Pourhajibagher_2022,10.2174/1871526522666211220121725,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Li_2021,10.1016/j.micres.2021.126911,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Seleem_2021,10.1016/j.micpath.2021.105097,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Usmani_2021,10.1016/j.micpath.2021.104997,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Slavin_2021,10.1021/acsami.0c16921,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Pourhajibagher_2021,10.1016/j.pdpdt.2021.102288,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Yamabe_2020,10.2220/biomedres.41.259,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ujak_2020,10.1002/cbdv.202000786,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
PaulBhattacharya_2020,10.1080/08927014.2020.1831480,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Oh_2020,10.1007/s13258-020-01005-8,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kaur_2020,10.1080/09593330.2020.1811389,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Zhang_2020,10.1016/j.micpath.2020.104451,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Yang_2020,10.1016/j.bmc.2020.115606,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
AlMarjania_2021,10.2174/1871526520666200525170318,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Khamari_2020,10.1159/000508461,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
PrezVarela_2020,10.1128/JB.00045-20,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Pourhajibagher_2020,10.1016/j.pdpdt.2020.101717,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ahmed_2020,10.1007/s42770-020-00235-y,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
NorAshimi_2019,10.3855/jidc.11455,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
AlKadmy_2019,10.1089/mdr.2019.0243,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Yu_2019,10.1016/j.fitote.2019.104433,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Zhang_2019,10.1016/j.margen.2019.100719,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Moran_2019,10.1016/j.plasmid.2019.102432,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Saipriya_2019,10.1111/jam.14330,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Leshkasheli_2019,10.1016/j.jgar.2019.05.005,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Bi_2019,10.1128/AAC.02526-18,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ravi_2019,10.1007/978-1-4939-9118-1_6,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Costoya_2019,10.1016/j.ijpharm.2018.12.075,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Shaaban_2018,10.1016/j.micpath.2018.11.043,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Hamidian_2018,10.1016/j.drup.2018.10.003,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Oliveira_2019,10.1128/JVI.01163-18,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Costa_2018,10.1016/j.carbpol.2018.08.083,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Tiwari_2018,10.1016/j.meegid.2018.09.010,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Trastoy_2018,10.1128/CMR.00023-18,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Sivaranjani_2018,10.1080/08927014.2018.1473387,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Erdnmez_2017,10.1007/s00203-017-1408-8,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Murray_2017,10.1093/infdis/jiw529,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Savari_2017,10.1007/s12223-017-0507-x,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Yaniv_2016,10.1080/08927014.2016.1253684,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Choi_2016,10.1016/j.ijantimicag.2016.09.024,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
John_2016,10.1080/08927014.2016.1221946,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Pourhajibagher_2016,10.1016/j.pdpdt.2016.07.007,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Tan_2016,10.1128/AAC.02180-15,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Alves_2016,10.1080/08927014.2015.1133810,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Tay_2016,10.3791/53243,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Blackwell_2015,10.1128/AAC.02662-15,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Bhargava_2015,10.2217/fmb.15.107,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kostoulias_2015,10.1128/AAC.01540-15,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Modarresi_2015,10.1111/apm.12455,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kandi_2015,10.7860/JCDR/2015/13069.6084,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kim_2015,10.1128/AAC.01175-15,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
He_2015,10.1128/AAC.00877-15,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Tipton_2015,10.1128/JB.00188-15,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Saranathan_2015,10.1111/1348-0421.12252,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jung_2015,10.1007/s00253-015-6439-y,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Modarresi_2015_2,10.1080/21505594.2014.1003001,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Li_2014,10.1128/AAC.04609-14,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Allen_2014,10.1107/S1399004714008311,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Bhargava_2014,10.1128/IAI.01600-14,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Chow_2013,10.1128/AAC.02410-13,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Gayoso_2013,10.1021/pr400603f,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Vilacoba_2013,10.1128/JCM.01388-13,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kim_2013,10.1128/AAC.00633-13,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Golberg_2013,10.1080/08927014.2013.796939,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ramrez_2013,10.1007/s00284-013-0326-5,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Saroj_2013,10.1128/AAC.02161-12,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Nigro_2012,10.1093/jac/dks459,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Bhargava_2012,10.1080/08927014.2012.714372,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Bitrian_2012,10.2436/20.1501.01.161,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
McQueary_2012,10.1007/s12275-012-1555-1,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Arduino_2012,10.1099/jmm.0.038968-0,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kim_2012,10.1128/AAC.00880-12,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Seputiene_2012,10.1128/AAC.05678-11,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Bonnin_2011,10.1093/jac/dkr413,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_not_oa
Hamidian_2011,10.1093/jac/dkr356,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Zhou_2011,10.1128/AAC.01134-10,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Clemmer_2011,10.1099/mic.0.049791-0,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Krizova_2011,10.1128/AAC.00221-11,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Kang_2011,10.1007/s12275-011-0315-y,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Turton_2011,10.1128/JCM.02335-10,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ramirez_2011,10.1128/AAC.01595-10,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Bhargava_2010,10.3109/1040841X.2010.512269,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Post_2010,10.1093/jac/dkq095,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Peleg_2009,10.1128/AAC.01533-08,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Peleg_2008,10.1073/pnas.0805048105,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Niu_2008,10.1128/JB.01929-07,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
BogelmezTinaz_2005,10.1016/j.micres.2005.03.005,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
